window,window_end,outcome_matured_at,n_rows,n_defaults,observed_rate,expected_rate,observed_over_expected,auc,gini,ks,brier,brier_reliability,evaluated,reason
2015Q4,2015-12-31,2016-12-31,22248,144,0.006472491909385114,0.00364545925729674,1.7754942388753334,0.8528510739634857,0.7057021479269714,0.5272575099529496,0.006093703204878523,0.000029797509652173186,true,""
2016Q1,2016-03-31,2017-03-31,22932,134,0.005843362986220129,0.0032558294138689305,1.79473868051226,0.8443700219841227,0.6887400439682454,0.5475467211708804,0.005609132049909288,0.000023917016945104992,true,""
2016Q2,2016-06-30,2017-06-30,23646,132,0.005582339507739152,0.0034398114924415837,1.62286204345948,0.8908240674156724,0.7816481348313449,0.6082237274505711,0.005162942034066815,0.000029131099550417225,true,""
2016Q3,2016-09-30,2017-09-30,24207,126,0.005205105961085636,0.0033161573977405576,1.569619694358326,0.8915920672492244,0.7831841344984487,0.6112663411778898,0.004770044561370537,0.00002251548355771031,true,""
2016Q4,2016-12-31,2017-12-31,24719,156,0.0063109349083700795,0.003292828855035967,1.916569365188324,0.8582024036569491,0.7164048073138982,0.5685889345763954,0.005970272306949661,0.000034944371844001184,true,""
2017Q1,2017-03-31,2018-03-31,25573,167,0.006530324952097916,0.0029665272175760033,2.2013366044333647,0.8523409765527592,0.7046819531055184,0.5419925322935173,0.006209707245144872,0.00004132376120530787,true,""
2017Q2,2017-06-30,2018-06-30,26348,174,0.006603916805829665,0.0028853919150523253,2.2887417031214303,0.8252687145003947,0.6505374290007895,0.48982450778125874,0.006327241034660506,0.00003525060532671221,true,""
2017Q3,2017-09-30,2018-09-30,27040,179,0.0066198224852071,0.0033434860711196073,1.9799162743305139,0.8693229098531047,0.7386458197062094,0.5710058340902128,0.0061313580582755605,0.000041231738659403004,true,""
2017Q4,2017-12-31,2018-12-31,27875,113,0.004053811659192825,0.0032302522907154568,1.2549520267641268,0.8674448679770463,0.7348897359540927,0.5734527300001976,0.0038777097770410244,4.845965069894055e-6,true,""
2018Q1,2018-03-31,2019-03-31,28471,110,0.003863580485406203,0.002968793627526627,1.3013974597570948,0.845461437120758,0.6909228742415161,0.5264239304294309,0.003600957041347854,5.078402985255591e-6,true,""
2018Q2,2018-06-30,2019-06-30,29341,114,0.0038853481476432295,0.002949917665124903,1.317103929230757,0.862518075391716,0.725036150783432,0.5785851102591391,0.00364934731265869,6.581221138995467e-6,true,""
2018Q3,2018-09-30,2019-09-30,30206,120,0.003972720651526187,0.003154148011660361,1.2595225832268173,0.8568781991624012,0.7137563983248023,0.5824325821533824,0.0037533854001138684,3.7155309374088744e-6,true,""
2018Q4,2018-12-31,2019-12-31,31059,141,0.004539746933256061,0.00304076172826386,1.492963717301209,0.8609178522552677,0.7218357045105355,0.5772771627902495,0.004256187934908564,0.000010796012812575619,true,""
2019Q1,2019-03-31,2020-03-31,31900,134,0.004200626959247649,0.003081951083627485,1.362976518856189,0.8375265819739682,0.6750531639479365,0.5322178692885757,0.003957855515629526,6.094620041964358e-6,true,""
2019Q2,2019-06-30,2020-06-30,32532,676,0.020779540145087913,0.003105572356085723,6.691050074672399,0.7089366554079155,0.417873310815831,0.3078284603199606,0.020360113251811855,0.00045255944505920775,true,""
2019Q3,2019-09-30,2020-09-30,32681,1111,0.03399528778189162,0.0030943715389149438,10.98616871127642,0.6929412215849396,0.3858824431698793,0.2944551946483847,0.033394232896233125,0.0013201780323963683,true,""
2019Q4,2019-12-31,2020-12-31,32789,1257,0.038336027326237455,0.003203050623345884,11.968598637442675,0.6911440043330608,0.38228800866612156,0.29390723378737826,0.03764547053749042,0.001688799441598262,true,""
