ltv_band,property_state,n,raw_mean,raw_std,credibility,shrunk_lgd,global_mean
81-90,MI,155,0.6005983878316378,0.34346736820626533,0.7560975609756098,0.5730515802429258,0.48765647671791884
81-90,MN,57,0.3832911057960723,0.22300284402563222,0.5327102803738317,0.432059970712823,0.48765647671791884
81-90,MO,90,0.43493774355951476,0.328788431517756,0.6428571428571429,0.45376586254465906,0.48765647671791884
81-90,MS,22,0.19499711545867734,1.522947294785834,0.3055555555555556,0.3982327829998173,0.48765647671791884
81-90,MT,9,0.1340772221250575,0.20492457528362404,0.15254237288135594,0.4337206582207027,0.48765647671791884
81-90,NC,95,0.41575356125551305,0.37435396333845045,0.6551724137931034,0.440547670035653,0.48765647671791884
81-90,ND,1,-0.039389153960776045,,0.0196078431372549,0.4773222486653954,0.48765647671791884
81-90,NE,11,0.4437921482650333,0.2617975957356459,0.18032786885245902,0.4797465158493657,0.48765647671791884
81-90,NH,19,0.43708607944952815,0.26083367711426214,0.2753623188405797,0.47373129486140547,0.48765647671791884
81-90,NJ,81,0.6284368725048483,0.4946229430401369,0.6183206106870229,0.5747038970136538,0.48765647671791884
81-90,NM,14,0.2471268460434493,0.19197951879749872,0.21875,0.43504062000787863,0.48765647671791884
81-90,NV,76,0.44787983413081317,0.2302009746763681,0.6031746031746031,0.4636642161098234,0.48765647671791884
81-90,NY,71,0.5692968943037012,0.39398490261896546,0.5867768595041323,0.5355611845575101,0.48765647671791884
81-90,OH,189,0.62886907948205,0.38921078633574147,0.7907949790794979,0.5993266939665414,0.48765647671791884
81-90,OK,25,0.43489305086099184,0.3034606212895045,0.3333333333333333,0.4700686680989432,0.48765647671791884
81-90,OR,47,0.26482179058781397,0.2015083918319106,0.4845360824742268,0.37968503086106387,0.48765647671791884
81-90,PA,109,0.5415823376061293,0.3827533434993029,0.6855345911949685,0.524624519716755,0.48765647671791884
81-90,PR,6,0.6392355165930763,0.23774270164288455,0.10714285714285714,0.5038970881331143,0.48765647671791884
81-90,RI,5,0.7724895906458118,0.3556921150786296,0.09090909090909091,0.5135503961659091,0.48765647671791884
81-90,SC,79,0.3767238746087506,0.36591068240907504,0.6124031007751938,0.41972100720920347,0.48765647671791884
81-90,SD,3,0.2813359771443293,0.14057730260783138,0.05660377358490566,0.4759779578741308,0.48765647671791884
81-90,TN,55,0.3360033828572046,0.3226572404249701,0.5238095238095238,0.40821914183849706,0.48765647671791884
81-90,TX,97,0.23010489617175608,0.2643511819566495,0.6598639455782312,0.31770747458881826,0.48765647671791884
81-90,UT,31,0.2819561164256638,0.24708020655139434,0.38271604938271603,0.4089316474702657,0.48765647671791884
81-90,VA,52,0.3139746227421301,0.26633365633721984,0.5098039215686274,0.39911278645575204,0.48765647671791884
81-90,VT,3,0.7602900071061148,0.43601444321013694,0.05660377358490566,0.5030885633436658,0.48765647671791884
81-90,WA,66,0.2849350921843881,0.24924582080858784,0.5689655172413793,0.37231499931090994,0.48765647671791884
81-90,WI,68,0.38909523743165414,0.31390749639931786,0.576271186440678,0.4308584744173595,0.48765647671791884
81-90,WV,14,0.35692954558387974,0.23263917739525034,0.21875,0.45905996053234777,0.48765647671791884
81-90,WY,3,-0.08434183074916331,0.26547120497492777,0.05660377358490566,0.4552792140311029,0.48765647671791884
91-95,AK,5,0.20684302761978035,0.2980112799357386,0.09090909090909091,0.4621279813453608,0.48765647671791884
